"Gene","Cerebrum","Cerebellum","Brainstem","Spinal cord","Kidney","Liver","Heart","Skeletal muscle","Adipose","Small intestine","Large intestine","Stomach","Placenta","Testis"
"Acsl1",398107170.553497,251188643.150958,398107170.553497,398107170.553497,3981071705.53497,25118864315.0958,15848931924.6111,15848931924.6111,25118864315.0958,199526231.496888,199526231.496888,5011872336.27271,31622776.6016838,79432823.4724282
"Dnajc30",31622776.6016838,39810717.0553497,50118723.3627272,3162277.66016838,1581138.83008419,1581138.83008419,6309573.44480193,1e+07,19952623.1496888,1581138.83008419,31622776.6016838,5011872.33627272,1581138.83008419,1581138.83008419
"Tmlhe",19905358.5276748,19905358.5276748,19905358.5276748,19905358.5276748,158489319.246111,19905358.5276748,19905358.5276748,19905358.5276748,398107170.553497,1e+09,199526231.496888,501187233.627271,79432823.4724282,39810717.0553497
"Bax",12589254.1179417,6309573.44480193,1e+07,3154786.72240097,3154786.72240097,3154786.72240097,3154786.72240097,3154786.72240097,31622776.6016838,3154786.72240097,316227766.016838,3154786.72240097,79432823.4724282,79432823.4724282
"Cryzl2",1e+08,63095734.4480193,1e+09,630957344.480194,15848931924.6111,794328234.724282,12559432.1575479,12559432.1575479,794328234.724282,12559432.1575479,125892541.179417,25118864.3150958,501187233.627271,794328234.724282
"Dnm1l",19952623.1496888,125892541.179417,501187233.627271,316227766.016838,9976311.57484439,9976311.57484439,9976311.57484439,9976311.57484439,9976311.57484439,9976311.57484439,9976311.57484439,9976311.57484439,9976311.57484439,9976311.57484439
"Pxmp2",630957.344480193,6309573.44480193,2511886.43150958,7943282.34724282,1995262314.96888,3162277660.16838,25118864.3150958,1e+07,251188643.150958,12589254.1179417,7943282.34724282,315478.672240096,7943282.34724282,31622776.6016838
"Cox20",251188643.150958,199526231.496888,316227766.016838,125892541.179417,316227766.016838,251188643.150958,199526231.496888,50118723.3627272,125892541.179417,251188643.150958,630957344.480194,398107170.553497,398107170.553497,251188643.150958
"Tmem177",31622776.6016838,3971641.17362141,3971641.17362141,3971641.17362141,3971641.17362141,3971641.17362141,3971641.17362141,3971641.17362141,63095734.4480193,3971641.17362141,3971641.17362141,7943282.34724282,25118864.3150958,158489319.246111
"Tk2",158489319.246111,63095734.4480193,79432823.4724282,12559432.1575479,12559432.1575479,12559432.1575479,12559432.1575479,12559432.1575479,25118864.3150958,12559432.1575479,12559432.1575479,12559432.1575479,12559432.1575479,12559432.1575479
"Fundc1",251188643.150958,251188643.150958,398107170.553497,125892541.179417,79432823.4724282,15811388.3008419,15811388.3008419,31622776.6016838,1e+08,15811388.3008419,1e+08,31622776.6016838,15811388.3008419,39810717.0553497
"Pgs1",158489319.246111,9976311.57484439,9976311.57484439,19952623.1496888,9976311.57484439,9976311.57484439,9976311.57484439,9976311.57484439,9976311.57484439,9976311.57484439,9976311.57484439,9976311.57484439,50118723.3627272,9976311.57484439
"Fasn",31622776.6016838,1e+08,1e+09,31622776.6016838,997631.157484439,1e+08,997631.157484439,15848931.9246111,2511886431.50958,3981071.70553497,997631.157484439,1995262.31496888,1e+08,1584893192.46111
"Cbr2",79432823.4724282,63095734.4480193,63095734.4480193,25118864.3150958,12559432.1575479,12559432.1575479,1e+08,251188643.150958,7943282347.24282,39810717.0553497,1e+09,199526231.496888,1995262314.96888,1258925411.79417
"Fam210b",79432823.4724282,39810717.0553497,19952623.1496888,7943282.34724282,3971641.17362141,251188643.150958,3971641.17362141,3971641.17362141,39810717.0553497,63095734.4480193,63095734.4480193,31622776.6016838,398107170.553497,501187233.627271
"Sfxn2",19905358.5276748,19905358.5276748,19905358.5276748,19905358.5276748,158489319.246111,398107170.553497,19905358.5276748,19905358.5276748,1e+08,19905358.5276748,39810717.0553497,1e+08,79432823.4724282,158489319.246111
"Otc",15811388.3008419,1e+08,15811388.3008419,31622776.6016838,6309573444.80194,79432823472.4282,15811388.3008419,1995262314.96888,63095734.4480193,25118864315.0958,5011872336.27271,1258925411.79417,251188643.150958,15811388.3008419
