Gene,Cerebrum,Cerebellum,Brainstem,Spinal cord,Kidney,Liver,Heart,Skeletal muscle,Adipose,Small intestine,Large intestine,Stomach,Placenta,Testis
Oxa1l,31622776.60168379,7924465.962305571,50118723.36272725,15848931.924611142,100000000,7924465.962305571,50118723.36272725,7924465.962305571,199526231.49688828,79432823.47242822,100000000,7924465.962305571,199526231.49688828,39810717.05534969
Idh2,1584893192.4611108,501187233.6272715,1258925411.794166,1258925411.794166,50118723362.72715,10000000000,125892541179.41661,6309573444.801943,10000000000,25118864315.09582,7943282347.242822,25118864315.09582,25118864315.09582,2511886431.509582
Atp5l,15848931924.611109,10000000000,12589254117.941662,10000000000,79432823472.42822,12589254117.941662,10000000000,1584893192.4611108,6309573444.801943,12589254117.941662,15848931924.611109,10000000000,7943282347.242822,5011872336.272715
Bola1,12589254.117941663,1581138.8300841898,39810717.05534969,39810717.05534969,79432823.47242822,199526231.49688828,3162277.6601683795,3981071.7055349695,199526231.49688828,50118723.36272725,50118723.36272725,25118864.315095823,100000000,100000000
Fahd2a,1258925411.794166,501187233.6272715,1000000000,1258925411.794166,2511886431.509582,316227766.01683795,630957344.4801943,50118723.36272725,2511886431.509582,251188643.1509582,501187233.6272715,316227766.01683795,63095734.448019296,3981071705.5349693
Etfrf1,7943282.347242822,3971641.173621411,39810717.05534969,10000000,158489319.2461111,316227766.01683795,158489319.2461111,3971641.173621411,630957344.4801943,63095734.448019296,39810717.05534969,79432823.47242822,63095734.448019296,3971641.173621411
Ndufc2,7943282347.242822,6309573444.801943,10000000000,3981071705.5349693,12589254117.941662,5011872336.272715,3162277660.1683793,1584893192.4611108,3981071705.5349693,6309573444.801943,6309573444.801943,5011872336.272715,3162277660.1683793,1995262314.9688828
Ndufa8,19952623149.688828,7943282347.242822,25118864315.09582,6309573444.801943,15848931924.611109,7943282347.242822,12589254117.941662,2511886431.509582,5011872336.272715,10000000000,7943282347.242822,6309573444.801943,6309573444.801943,2511886431.509582
Mthfd1l,5011872336.272715,5011872336.272715,5011872336.272715,501187233.6272715,12589254.117941663,3981071.7055349695,1990535.8527674847,1990535.8527674847,1258925411.794166,251188643.1509582,3981071705.5349693,316227766.01683795,5011872336.272715,6309573444.801943
Pdk3,501187233.6272715,199526231.49688828,316227766.01683795,630957344.4801943,316227766.01683795,2505936.1681363625,2505936.1681363625,5011872.336272725,199526231.49688828,1000000000,630957344.4801943,316227766.01683795,251188643.1509582,1995262314.9688828
Cox14,199526231.49688828,25118864.315095823,39810717.05534969,1258925.411794166,199526231.49688828,629462.705897083,31622776.60168379,629462.705897083,629462.705897083,1000000000,629462.705897083,629462.705897083,629462.705897083,199526231.49688828
Gcdh,251188643.1509582,31622776.60168379,794328234.7242821,251188643.1509582,7943282347.242822,10000000000,398107170.5534969,50118723.36272725,1000000000,398107170.5534969,398107170.5534969,1258925411.794166,1000000000,398107170.5534969
Mrpl51,79432823.47242822,31622776.60168379,15811388.300841896,50118723.36272725,199526231.49688828,125892541.17941661,398107170.5534969,125892541.17941661,158489319.2461111,251188643.1509582,316227766.01683795,100000000,251188643.1509582,100000000
Hagh,100000000,39810717.05534969,79432823.47242822,158489319.2461111,501187233.6272715,501187233.6272715,9976311.574844394,9976311.574844394,199526231.49688828,251188643.1509582,79432823.47242822,19952623.149688788,125892541.17941661,316227766.01683795
Mtx1,794328234.7242821,501187233.6272715,630957344.4801943,251188643.1509582,1258925411.794166,501187233.6272715,316227766.01683795,25118864.315095823,1000000000,19952623.149688788,1258925411.794166,398107170.5534969,1995262314.9688828,794328234.7242821
